,Date,Hour,PM2_MIN,PM2_MAX,PM2_AVG
308,2019-09-10,9,9.0,14.0,11.0
309,2019-09-10,10,9.0,14.0,11.0
310,2019-09-10,11,9.0,14.0,11.0
311,2019-09-10,13,9.0,14.0,11.0
312,2019-09-10,14,9.0,14.0,11.0
313,2019-09-10,15,10.0,14.0,12.0
314,2019-09-10,16,10.0,14.0,12.0
315,2019-09-10,17,10.0,14.0,12.0
316,2019-09-10,18,10.0,14.0,12.0
317,2019-09-10,19,10.0,14.0,12.0
318,2019-09-10,20,10.0,14.0,12.0
319,2019-09-10,21,11.0,14.0,12.0
320,2019-09-10,22,11.0,14.0,12.0
321,2019-09-10,23,11.0,14.0,12.0
322,2019-09-11,0,11.0,14.0,12.0
323,2019-09-11,1,11.0,14.0,12.0
324,2019-09-11,2,11.0,14.0,12.0
325,2019-09-11,3,12.0,14.0,13.0
326,2019-09-11,4,12.0,14.0,13.0
327,2019-09-11,5,12.0,14.0,13.0
328,2019-09-11,6,12.0,14.0,13.0
329,2019-09-11,7,12.0,14.0,13.0
330,2019-09-11,8,12.0,14.0,13.0
331,2019-09-11,9,12.0,13.0,12.0
332,2019-09-11,10,12.0,13.0,12.0
333,2019-09-11,11,12.0,13.0,12.0
334,2019-09-11,12,12.0,13.0,12.0
335,2019-09-11,13,12.0,13.0,12.0
336,2019-09-11,14,12.0,13.0,12.0
337,2019-09-11,15,12.0,14.0,13.0
338,2019-09-11,16,12.0,14.0,13.0
339,2019-09-11,17,12.0,15.0,13.0
340,2019-09-11,18,12.0,15.0,13.0
341,2019-09-11,19,12.0,16.0,14.0
342,2019-09-11,20,12.0,16.0,14.0
343,2019-09-11,21,12.0,16.0,14.0
344,2019-09-11,22,12.0,17.0,14.0
345,2019-09-11,23,12.0,17.0,14.0
346,2019-09-12,1,12.0,17.0,14.0
347,2019-09-12,2,12.0,17.0,14.0
348,2019-09-12,3,12.0,17.0,14.0
349,2019-09-12,4,12.0,17.0,14.0
350,2019-09-12,5,12.0,17.0,14.0
351,2019-09-12,6,12.0,17.0,14.0
352,2019-09-12,7,12.0,17.0,14.0
353,2019-09-12,8,12.0,18.0,15.0
354,2019-09-12,9,12.0,18.0,15.0
355,2019-09-12,10,12.0,19.0,15.0
356,2019-09-12,11,13.0,19.0,16.0
357,2019-09-12,12,13.0,19.0,16.0
358,2019-09-12,13,13.0,19.0,16.0
359,2019-09-12,14,14.0,19.0,16.0
360,2019-09-12,15,14.0,19.0,16.0
361,2019-09-12,16,15.0,19.0,17.0
362,2019-09-12,17,15.0,20.0,17.0
363,2019-09-12,18,16.0,20.0,18.0
364,2019-09-12,19,16.0,20.0,18.0
365,2019-09-12,20,16.0,20.0,18.0
366,2019-09-12,21,16.0,20.0,18.0
367,2019-09-12,22,16.0,20.0,18.0
368,2019-09-12,23,16.0,20.0,18.0
369,2019-09-13,0,16.0,20.0,18.0
370,2019-09-13,1,16.0,20.0,18.0
371,2019-09-13,2,16.0,20.0,18.0
372,2019-09-13,3,12.215290101685264,22.871767304930728,17.42914588510612
373,2019-09-13,4,16.0,20.0,18.0
374,2019-09-13,5,15.0,20.0,17.0
375,2019-09-13,6,15.0,20.0,17.0
376,2019-09-13,7,14.0,20.0,17.0
377,2019-09-13,8,142.0,146.0,144.0
378,2019-09-13,9,13.0,20.0,16.0
379,2019-09-13,10,12.0,20.0,16.0
380,2019-09-13,11,12.0,20.0,16.0
381,2019-09-13,12,12.0,20.0,16.0
382,2019-09-13,13,11.0,20.0,15.0
383,2019-09-13,14,11.0,20.0,15.0
384,2019-09-13,15,11.0,20.0,15.0
385,2019-09-13,16,10.0,20.0,15.0
386,2019-09-13,17,10.0,19.0,14.0
387,2019-09-13,18,10.0,19.0,14.0
388,2019-09-13,19,10.0,19.0,14.0
389,2019-09-13,20,10.0,19.0,14.0
390,2019-09-13,21,10.0,19.0,14.0
391,2019-09-13,22,10.0,19.0,14.0
392,2019-09-13,23,10.0,19.0,14.0
393,2019-09-14,0,10.0,18.0,14.0
394,2019-09-14,2,10.0,17.0,13.0
395,2019-09-14,3,10.0,16.0,13.0
396,2019-09-14,4,10.0,15.0,12.0
397,2019-09-14,5,10.0,15.0,12.0
398,2019-09-14,6,10.0,14.0,12.0
399,2019-09-14,7,10.0,13.0,11.0
400,2019-09-14,8,10.0,13.0,11.0
401,2019-09-14,9,10.0,13.0,11.0
402,2019-09-14,10,10.0,13.0,11.0
403,2019-09-14,11,10.0,13.0,11.0
404,2019-09-14,12,10.0,13.0,11.0
405,2019-09-14,13,10.0,13.0,11.0
406,2019-09-14,14,10.0,14.0,12.0
407,2019-09-14,15,10.0,14.0,12.0
408,2019-09-14,16,10.0,14.0,12.0
409,2019-09-14,17,10.0,14.0,12.0
410,2019-09-14,18,10.0,14.0,12.0
411,2019-09-14,19,10.0,14.0,12.0
412,2019-09-14,20,10.0,14.0,12.0
413,2019-09-14,21,10.0,14.0,12.0
414,2019-09-14,22,10.0,14.0,12.0
415,2019-09-14,23,10.0,14.0,12.0
416,2019-09-15,0,11.0,14.0,12.0
